CustomerID,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,OverageMinutes,RoamingCalls,PercChangeMinutes,PercChangeRevenues,DroppedCalls,BlockedCalls,UnansweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,DroppedBlockedCalls,CallForwardingCalls,CallWaitingCalls,MonthsInService,UniqueSubs,ActiveSubs,ServiceArea,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,ChildrenInHH,HandsetRefurbished,HandsetWebCapable,TruckOwner,RVOwner,Homeownership,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,OwnsComputer,HasCreditCard,RetentionCalls,RetentionOffersAccepted,NewCellphoneUser,NotNewCellphoneUser,ReferralsMadeBySubscriber,IncomeGroup,OwnsMotorcycle,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating,PrizmCode,Occupation,MaritalStatus
3317770,39.79,234.0,55.0,0.25,0.0,1.7,31.0,8.8,6.7,0.7,10.3,0.0,0.0,59.4,18.0,4.7,54.0,24.0,7.3,0.0,0.0,7.0,2.0,1.0,LAXSAN714,1.0,1.0,211.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0.0,0.0,No,No,0.0,0.0,No,0.0,30.0,No,2-High,Suburban,Other,Unknown
3224894,60.19,551.0,60.0,0.74,0.0,0.3,-88.0,-10.2,2.7,32.7,68.7,0.0,0.3,76.3,15.7,0.3,146.3,95.7,35.3,0.0,1.0,11.0,1.0,1.0,CHIDAV319,2.0,1.0,122.0,30.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0.0,0.0,No,No,0.0,7.0,No,0.0,150.0,No,2-High,Suburban,Crafts,Yes
3231266,85.41,642.0,28.0,0.25,134.0,0.0,129.0,22.8,29.7,0.0,0.0,4.3,0.0,157.2,52.3,33.7,39.3,96.3,31.0,0.0,2.0,13.0,1.0,1.0,NYCSUF516,1.0,1.0,393.0,44.0,42.0,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,0.0,0.0,No,Yes,0.0,4.0,No,0.0,30.0,No,2-High,Suburban,Crafts,No
3184922,30.18,281.0,30.0,0.0,0.0,0.0,132.0,-0.2,4.0,0.0,15.3,5.3,0.0,55.7,8.3,3.7,41.3,41.7,4.7,0.0,0.0,20.0,2.0,2.0,NYCWHI914,2.0,1.0,465.0,0.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0.0,0.0,No,No,0.0,3.0,No,0.0,150.0,No,3-Good,Suburban,Other,Unknown
3350054,179.29,1459.0,95.0,0.5,118.0,21.58399999999965,-1360.0,-77.0,21.7,11.0,103.0,0.0,0.7,277.4,23.3,0.7,217.3,86.7,32.7,0.0,3.3,12.0,1.0,1.0,HARSPR413,1.0,1.0,349.0,42.0,76.0,Yes,No,Yes,No,No,Known,Yes,Yes,No,No,Yes,Yes,0.0,0.0,No,No,0.0,4.0,No,0.0,30.0,No,3-Good,Rural,Other,Unknown
3087226,50.0,403.0,50.0,0.0,0.0,0.0,-8.0,0.0,6.7,2.0,22.7,0.0,0.0,136.4,14.3,2.3,111.7,14.3,8.7,0.0,1.3,26.0,1.0,1.0,DALFTW817,3.0,2.0,459.0,48.0,54.0,No,No,Yes,Yes,Yes,Known,Yes,Yes,No,No,No,Yes,1.0,1.0,No,No,0.0,1.0,No,0.0,130.0,Yes,2-High,Rural,Other,Yes
3310630,89.73,416.0,95.0,0.74,0.0,0.0,-108.0,-0.7,10.0,11.0,39.3,0.0,0.3,63.9,59.7,15.3,108.7,144.0,21.0,0.0,1.7,11.0,2.0,2.0,SANAUS512,1.0,1.0,326.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0.0,0.0,No,No,0.0,0.0,No,0.0,30.0,No,3-Good,Other,Other,Unknown
3212922,141.45,654.0,20.0,0.0,344.0,0.0,46.0,-92.3,5.0,5.7,44.0,0.0,0.0,138.0,26.7,5.7,98.0,55.3,10.7,0.0,1.0,18.0,2.0,2.0,MIAMIA305,3.0,3.0,32.0,34.0,0.0,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0.0,0.0,No,Yes,0.0,2.0,No,0.0,10.0,No,4-Medium,Other,Other,No
3070694,62.85,524.0,50.0,0.25,0.0,0.0,159.0,6.3,4.7,0.0,5.0,0.0,0.0,72.5,26.3,4.0,146.7,78.7,4.7,0.0,0.0,23.0,1.0,1.0,NYCBRO917,2.0,1.0,321.0,60.0,54.0,Yes,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,0.0,0.0,No,No,0.0,2.0,No,0.0,30.0,No,3-Good,Other,Other,Yes
3041538,45.59,307.0,30.0,0.5,38.0,0.0,55.0,4.8,1.7,6.7,12.3,0.0,0.0,93.2,14.0,0.7,67.7,46.7,8.3,0.0,0.7,34.0,1.0,1.0,CHILAG630,3.0,2.0,276.0,46.0,48.0,Yes,No,Yes,No,No,Known,No,No,No,No,Yes,Yes,0.0,0.0,No,No,0.0,5.0,No,0.0,80.0,No,3-Good,Suburban,Professional,Yes
3153790,127.47,596.0,33.0,3.3,35.0,21.58399999999965,-6.0,-0.3,17.3,0.7,47.0,1.7,0.3,50.4,26.3,1.0,57.0,37.3,18.0,0.0,0.0,19.0,1.0,1.0,MILWAU262,1.0,1.0,566.0,22.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0.0,0.0,No,No,0.0,2.0,No,0.0,30.0,No,7-Lowest,Other,Other,No
3046146,27.79,29.0,33.0,0.0,11.0,0.0,47.0,9.0,0.3,0.0,2.3,0.0,0.0,0.4,0.0,0.0,1.0,3.0,0.3,0.0,0.0,33.0,1.0,1.0,NYCBRO917,2.0,2.0,45.0,42.0,54.0,No,No,Yes,Yes,No,Known,Yes,Yes,No,No,No,Yes,1.0,0.0,No,No,0.0,6.0,No,0.0,30.0,Yes,1-Highest,Other,Other,Yes
3250266,38.41,354.0,40.0,0.99,20.0,0.3,68.0,15.8,4.0,7.3,23.3,5.3,2.0,22.3,31.3,3.0,67.7,37.3,11.3,0.0,0.0,14.0,2.0,2.0,NCRRIC804,1.0,1.0,413.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,Yes,No,No,Yes,0.0,0.0,No,No,0.0,0.0,No,0.0,30.0,No,2-High,Rural,Other,Unknown
3197894,86.23,816.0,50.0,0.74,114.0,0.0,-299.0,-44.3,7.0,0.3,38.0,0.0,0.3,162.6,31.3,0.0,184.7,107.3,7.3,0.0,3.3,17.0,1.0,1.0,PHICTR610,2.0,2.0,137.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0.0,0.0,No,No,0.0,0.0,No,0.0,150.0,No,4-Medium,Other,Other,Unknown
3185734,62.84,773.0,70.0,0.25,14.0,0.0,-114.0,7.6,1.0,3.0,37.0,3.7,0.0,95.6,63.3,20.3,131.7,83.3,4.0,0.0,2.0,16.0,4.0,2.0,SANAUS512,1.0,1.0,486.0,36.0,0.0,No,No,Yes,No,No,Known,No,No,No,No,No,Yes,0.0,0.0,No,Yes,1.0,9.0,No,0.0,30.0,No,2-High,Suburban,Other,Unknown
3343514,104.6,608.0,57.0,0.0,16.0,21.58399999999965,-580.0,-67.1,1.0,4.7,48.3,3.0,0.0,107.6,7.0,10.3,58.3,86.7,5.7,0.0,1.7,6.0,1.0,1.0,OKCOKC405,1.0,1.0,189.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0.0,0.0,Yes,No,0.0,0.0,No,0.0,30.0,No,5-Low,Suburban,Other,Unknown
3027298,30.57,29.0,30.0,0.0,0.0,0.0,12.0,0.0,0.3,0.3,0.7,0.0,0.0,3.3,1.3,0.7,7.3,3.3,0.7,0.0,0.0,31.0,1.0,1.0,DALDAL214,1.0,1.0,940.0,56.0,34.0,Yes,No,No,No,No,Known,No,No,No,Yes,Yes,Yes,0.0,0.0,No,No,0.0,5.0,No,0.0,30.0,No,1-Highest,Suburban,Professional,No
3030686,42.92,199.0,36.0,0.0,16.0,0.0,-48.0,-2.6,1.3,3.7,25.0,0.0,0.0,16.8,16.0,0.3,58.0,49.7,5.0,0.0,0.0,33.0,1.0,1.0,DALDAL214,2.0,2.0,246.0,42.0,40.0,Yes,No,Yes,Yes,No,Known,Yes,Yes,No,No,Yes,Yes,0.0,0.0,No,Yes,0.0,6.0,No,0.0,30.0,No,5-Low,Suburban,Other,Yes
3330818,35.26,359.0,50.0,0.0,0.0,0.0,-64.0,4.7,4.7,11.3,14.7,12.0,0.3,109.9,11.3,8.3,71.0,45.0,16.0,0.0,0.3,7.0,1.0,1.0,MILMIL414,1.0,1.0,202.0,0.0,0.0,No,No,Yes,No,No,Unknown,No,No,No,No,No,No,0.0,0.0,No,No,0.0,0.0,No,0.0,30.0,No,2-High,Other,Other,Unknown
3138806,92.18,1014.0,80.0,0.0,60.0,0.0,627.0,11.6,4.0,5.0,44.3,2.7,0.0,184.9,38.3,46.7,160.3,154.0,9.0,0.0,4.0,18.0,1.0,1.0,DALFTW817,1.0,1.0,546.0,0.0,0.0,No,Yes,Yes,No,No,Known,No,No,No,No,No,Yes,0.0,0.0,No,No,0.0,3.0,No,0.0,30.0,No,4-Medium,Town,Other,Unknown
